title,artist,album,duration,file_url
Suno Naa,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Suno%20Naa.mp3
Kiya Kiya,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/kiya%20kiya.mp3
Garam Masala (2005) - 01 - Adaa,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Garam%20Masala%20(2005)%20-%2001%20-%20Adaa.mp3
Bulla Ki Jana,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/bulla%20ki%20jana.mp3
Jeeye To Jeeye Kaise-Pankaj Udhas,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Jeeye%20To%20Jeeye%20Kaise-Pankaj%20UdhasRaag.Me.mp3
Phool Aur Angaar-Chori Chori Dil Tera,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/06.%20Phool%20Aur%20Angaar-Chori%20Chori%20Dil%20Tera.mp3
Sagar Sang Kinare Hain,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Sagar%20Sang%20Kinare%20Hain%20-%20www.downloadming.com.mp3
Intaha Ho Gai Intezar Ki-Kishore Kumar,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Intaha%20Ho%20Gai%20Intezar%20Ki-Kishore%20KumarRaag.Me.mp3
Pyaar Main Dil De Diya-Various,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Pyaar%20Main%20Dil%20De%20Diya-VariousRaag.Me.mp3
Bahon Ke Darmiya -Khamoshi,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/BAHON%20KE%20DARMIYA%20-khamoshi.mp3
Jeenakya Aji Pyar Bina-Kishore Kumar,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/JeenaKya%20Aji%20Pyar%20Bina-Kishore%20KumarRaag.Me.mp3
Ek Main Aur Ek Tu-Kishore Kumar,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Ek%20Main%20Aur%20Ek%20Tu-Kishore%20KumarRaag.Me.mp3
Loote Koi Man Ka Nagar-Lata Mangeshkar,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Loote%20Koi%20Man%20Ka%20Nagar-Lata%20MangeshkarRaag.Me.mp3
Bobby - Ankhiyo Ko Rehne Do,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/010%20%20BOBBY%20-%20ANKHIYO%20KO%20REHNE%20DO.MP3
Deewana Main Chala,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/DEEWANA%20MAIN%20CHALA%20.mp3
Dillagaliyamaine,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/DilLagaLiyaMaine.mp3
Phool_Aur_Kaante1(,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/phool_aur_kaante1(www.songs.pk).mp3
Humne Tumo Dil Ye De Diya,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Humne%20Tumo%20Dil%20Ye%20De%20Diya%20.mp3
Meri Bheegi Bheegi Si-Kishore Kumar,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Meri%20Bheegi%20Bheegi%20Si-Kishore%20KumarRaag.Me.mp3
Ye Hawa Mere Sang Sang Chal-Various,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Ye%20Hawa%20Mere%20Sang%20Sang%20Chal-VariousRaag.Me.mp3
Lo Aa Gayi Unki Yaad-Lata Mangeshkar,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Lo%20Aa%20Gayi%20Unki%20Yaad-Lata%20MangeshkarRaag.Me.mp3
Bodyguard06(,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/bodyguard06(www.songs.pk).mp3
Sona Kare Jhilmil-Suresh Wadekar,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Sona%20Kare%20Jhilmil-Suresh%20WadekarRaag.Me.mp3
Bahut Pyar Karte Hain (Saajan)-Various,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Bahut%20Pyar%20Karte%20Hain%20(Saajan)-VariousRaag.Me.mp3
Khuli Palak Mein Jhutha Gussa-Mohammed Rafi,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Khuli%20Palak%20Mein%20Jhutha%20Gussa-Mohammed%20RafiRaag.Me.mp3
Satyam Shivam Sundaram-Lata Mangeshkar,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Satyam%20Shivam%20Sundaram-Lata%20MangeshkarRaag.Me.mp3
Ashwini Ye Na-Sachin,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Ashwini%20Ye%20Na-SachinRaag.Me.mp3
Agar Tum Na Hote - Title Song,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/049.%20AGAR%20TUM%20NA%20HOTE%20-%20TITLE%20SONG.mp3
Tu Rootha To Main - Asha Bhosle & Amit Kumar,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/01%20Tu%20Rootha%20To%20Main%20-%20Asha%20Bhosle%20%26%20Amit%20Kumar%20-%20www.downloadming.com.mp3
